id,genre,distance,dept,population,naissance,groupe,sp_2019,sp_2020,sp_2021,pc_2019,pc_2020,pc_2021,ih_2019,ih_2020,ih_2021,ic_2019,ic_2020,ic_2021,ap_2019,ap_2020,ap_2021,qe_2019,qe_2020,qe_2021,tor_2020,tor_2021,R0_2021,incid_2021,diffact_sansap_c2,diffact_sansap_c1,diffact_ap_c2,diffact_ap_c1
1,H,686,6,1089270,1972,LREM,13,3,3,16,7,0,11,0,15,7,4,0,16,8,38,6,0,0,0.386057486809591,0.872598761103319,0.83,170.144174312737,-0.681118881118881,-0.666666666666667,-0.338432400932401,0.4375
3,F,185,72,562177,1962,MODEM,10,4,3,1,1,0,2,9,2,0,0,0,3,27,12,2,3,1,0.3447392876238,0.55864522069744,0.896470588235294,195.760983021693,-0.55,-0.673611111111111,0.16,-0.65
5,H,78,28,428178,1987,LREM,13,4,4,17,2,0,21,114,15,25,0,0,39,26,51,3,0,0,0.446746885133982,0.788410991636798,0.891176470588235,170.255026386173,-0.795604395604396,-0.62280701754386,-0.611721611721612,-0.226720647773279
6,H,392,69,1892753,1958,MODEM,14,6,4,40,5,0,70,28,20,122,14,0,130,12,29,2,1,1,0.509411006597803,0.78410035201108,0.885294117647059,233.036434134316,-0.785714285714286,-0.523809523809524,-0.784249084249084,-0.200396825396825
7,H,32,95,1260042,1967,LREM,12,8,6,30,10,1,39,39,5,34,1,0,40,21,16,0,4,19,1.02830887227349,1.0399977500914,0.871176470588235,345.754112544811,-0.834615384615385,0.145641025641026,-0.787692307692308,0.0816849816849817
8,H,42,77,1432475,1968,SOC,11,7,4,6,1,0,12,22,3,6,0,0,0,9,0,3,8,0,1.02830887227349,1.0399977500914,0.871176470588235,293.207159494076,-0.877272727272727,-0.823051948051948,-0.877272727272727,-0.858441558441558
9,H,26,91,1315456,1983,LREM,16,2,6,19,4,0,1,1,48,3,0,0,3,1,100,0,0,2,1.02830887227349,1.0399977500914,0.871176470588235,274.420428842554,11.09375,16,15.3416666666667,36.75
11,F,477,26,523122,1964,LR,14,4,6,30,7,0,47,11,5,33,48,0,135,49,233,7,23,13,0.509411006597803,0.78410035201108,0.885294117647059,137.691083810195,-0.521580547112462,-0.49604743083004,-0.313662801606064,0.212477481111022
12,F,1,75,2142366,1961,LREM,13,3,3,14,4,0,1,0,0,5,0,0,0,2,0,0,4,0,1.02830887227349,1.0399977500914,0.871176470588235,274.420411467969,-0.942307692307692,-0.666666666666667,-0.942307692307692,-0.75
13,F,347,63,669477,1955,MODEM,14,8,2,27,7,0,35,11,0,31,6,0,24,10,77,0,0,0,0.509411006597803,0.78410035201108,0.885294117647059,152.449020320596,-0.964285714285714,-0.9375,-0.329761904761905,0.59
16,F,313,70,233391,1972,LREM,13,4,6,26,1,0,10,5,7,25,0,0,58,10,56,7,8,9,0.625025795590312,0.696937113066145,0.895294117647059,136.695071863922,-0.510549450549451,0.00625000000000001,-0.431205001894657,0.925
17,H,11,94,1418572,1985,LREM,14,18,5,24,34,3,33,280,3,24,213,0,4,44,8,2,0,0,1.02830887227349,1.0399977500914,0.871176470588235,319.327982110136,-0.885389610389611,-0.905818160597572,-0.571158008658009,-0.888290892114422
18,F,68,60,829695,1965,LREM,13,5,3,27,8,0,685,5,0,8,4,0,30,2,43,2,0,3,0.584143642727381,1.14755609564492,0.855882352941176,260.004253435455,-0.653846153846154,-0.85,-0.472649572649573,3.42
19,F,485,29,914301,1973,LREM,12,0,5,17,0,0,5,0,3,2,0,0,3,2,2,7,5,7,0.268914158654302,0.497061263772733,0.920588235294118,60.6433489767132,-0.596666666666667,0.4,-0.552777777777778,0.2
20,H,112,76,1250846,1958,GDR,15,13,6,24,5,0,257,21,87,25,9,0,7,24,8,2,13,10,0.298311731950845,0.675793010752688,0.895294117647059,203.018331665752,0.147704280155642,0.0747252747252747,0.146896423939226,-0.0488400488400488
21,H,253,50,491365,1965,LREM,13,5,5,15,6,0,5,3,1,10,0,0,5,13,2,12,20,17,0.298311731950845,0.675793010752688,0.895294117647059,129.978601844085,-0.59974358974359,-0.454166666666667,-0.599786324786325,-0.532564102564103
22,H,7079,973,294146,1959,GDR,10,6,0,18,3,0,45,11,0,9,3,0,33,43,35,11,17,2,0.222828784119107,1.43153432588916,1.15823529411765,204.138334074974,-0.963636363636364,-0.976470588235294,-0.792929292929293,-0.844733242134063
23,F,18,78,1452910,1986,LREM,15,4,4,23,10,0,15,7,320,29,374,0,39,44,190,3,1,3,1.02830887227349,1.0399977500914,0.871176470588235,243.55347109074,3.52,8.94285714285714,3.57863247863248,8.00541125541126
24,H,162,62,1455018,1957,MODEM,14,8,4,37,11,0,45,17,6,87,1,0,41,0,9,6,10,5,0.584143642727381,1.14755609564492,0.855882352941176,238.569303289365,-0.749523809523809,-0.729411764705882,-0.754684475416183,-0.729411764705882
