id,genre,distance,dept,population,naissance,groupe,pc_2019,pc_2020,ih_2019,ih_2020,ic_2019,ic_2020,sp_2019,sp_2020,qe_2019,qe_2020,ap_2019,ap_2020,tor
1,H,686,6,1089270,1972,LREM,17,12,15,6,8,4,17,11,8,0,22,13,0.274464560017555
3,F,185,72,562177,1962,MODEM,1,3,2,12,0,0,12,9,4,3,3,46,0.221624069339017
5,H,78,28,428178,1987,LREM,23,17,37,299,33,0,19,10,3,0,39,198,0.284554287664887
6,H,392,69,1892753,1958,MODEM,69,16,77,39,165,14,22,13,8,1,172,35,0.324581145286322
7,H,32,95,1260042,1967,LREM,43,18,41,42,38,1,18,16,3,6,49,21,0.670052702578345
8,H,42,77,1432475,1968,SOC,8,2,25,22,12,0,16,12,4,8,1,10,0.670052702578345
9,H,26,91,1315456,1983,LREM,47,14,2,105,22,0,25,10,0,0,38,49,0.670052702578345
11,F,477,26,523122,1964,LR,36,18,58,23,41,48,20,11,14,29,175,133,0.324581145286322
12,F,1,75,2142366,1961,LREM,26,11,6,3,6,0,21,11,0,4,0,2,0.670052702578345
13,F,347,63,669477,1955,MODEM,32,14,37,11,36,6,18,14,0,0,27,10,0.324581145286322
16,F,313,70,233391,1972,LREM,44,18,13,5,41,0,20,13,9,10,70,28,0.372406088535121
17,H,11,94,1418572,1985,LREM,27,56,37,795,31,213,19,28,2,0,4,67,0.670052702578345
18,F,68,60,829695,1965,LREM,36,18,776,5,8,4,18,11,2,1,32,2,0.379909828123325
19,F,485,29,914301,1973,LREM,23,18,5,3,4,0,18,8,14,7,3,15,0.169444376715242
20,H,112,76,1250846,1958,GDR,36,16,287,56,47,9,22,20,4,14,11,24,0.187244440787068
21,H,253,50,491365,1965,LREM,20,10,5,6,13,0,17,12,30,31,5,16,0.187244440787068
22,H,7079,973,294146,1959,GDR,21,18,47,43,9,3,14,13,14,19,33,166,0.679156327543424
23,F,18,78,1452910,1986,LREM,65,18,42,59,67,374,22,12,8,3,51,77,0.670052702578345
24,H,162,62,1455018,1957,MODEM,46,24,45,51,90,1,21,17,6,12,41,1,0.379909828123325
26,F,397,67,1147474,1964,LT,35,16,37,20,36,0,17,13,3,1,78,88,0.552756977921241
27,H,204,59,2598299,1961,SOC,23,5,70,16,41,0,16,11,5,13,0,3,0.379909828123325
28,H,201,14,692839,1947,LREM,9,7,0,0,10,1,12,7,0,0,0,0,0.187244440787068
29,H,400,56,763103,1962,LT,40,20,165,41,126,5,22,15,30,35,174,53,0.169444376715242
30,H,595,34,1196633,1967,AE,22,8,20,10,29,1,17,12,4,15,14,7,0.177860462273925
31,H,661,13,2048395,1988,LREM,64,25,45,14,54,2,24,14,20,33,102,36,0.274464560017555
32,H,365,1,662244,1980,LR,20,28,37,180,23,3,20,24,26,28,83,1,0.324581145286322
33,H,201,14,692839,1969,LREM,30,12,12,3,11,2,22,13,9,1,0,0,0.187244440787068
